metier;personnalite
Préposé aux soins des animaux;Réaliste
Préposé de salon funéraire;Réaliste
Affuteur d’outils de machines à bois;Réaliste
Aide d’atelier d’usinage;Réaliste
Aide-boucher;Réaliste
Aide-boulanger;Réaliste
Aide-menuisier d’atelier;Réaliste
Aide-soudeur;Réaliste
Arpenteur-géomètre;Réaliste
Calorifugeur;Réaliste
Charpentier-menuisier;Réaliste
Chocolatier;Réaliste
Conducteur de chariots élévateurs;Réaliste
Conducteur de machines industrielles;Réaliste
Déménageur;Réaliste
Éboueur;Réaliste
Emballeur;Réaliste
Finisseur-retoucheur de meubles;Réaliste
Fromager;Réaliste
Géomaticien;Réaliste
Machiniste de plateau;Réaliste
Maître brasseur;Réaliste
Manœuvre à l’entretien des travaux publics;Réaliste
Manœuvre à la fabrication du plastique;Réaliste
Manœuvre dans une cour à bois;Réaliste
Manœuvre de scierie;Réaliste
Manœuvre en industrie pharmaceutique;Réaliste
Manœuvre en ferblanterie;Réaliste
Manutentionnaire;Réaliste
Opérateur d’usine de traitement des eaux;Réaliste
Opérateur de scie principale;Réaliste
Ouvrier d’entretien de machines à mouler le verre;Réaliste
Ouvrier en pavage;Réaliste
Peintre en bâtiment;Réaliste
Préposé à la stérilisation;Réaliste
Régleur-conducteur de machine à bois;Réaliste
Réparateur-affûteur de scies;Réaliste
Sableur au jet;Réaliste
Scieur de planches;Réaliste
Menuisier d’atelier de bois ouvré;Réaliste
Aide-cuisinier;Réaliste
Aide-traiteur;Réaliste
Briqueteur-maçon;Réaliste
Carreleur;Réaliste
Cimentier-applicateur;Réaliste
Couturier;Réaliste
Dynamiteur;Réaliste
Facteur;Réaliste
Livreur de journaux;Réaliste
Matelot;Réaliste
Nettoyeur d’édifice à bureaux;Réaliste
Plâtrier;Réaliste
Poseur de systèmes intérieurs;Réaliste
Préposé à l’entretien des chambres;Réaliste
Préposé à l’entretien ménager (centre hospitalier);Réaliste
Préposé aux tables;Réaliste
Tailleur en confection;Réaliste
Boucher d’abattoir;Réaliste
Chauffeur de camion;Réaliste
Commis au courrier;Réaliste
Conducteur de camion lourd hors route;Réaliste
Débardeur;Réaliste
Foreur;Réaliste
Grutier;Réaliste
Mineur;Réaliste
Opérateur de machinerie lourde en voirie forestière;Réaliste
Opérateur de machinerie lourde de construction;Réaliste
Opérateur de pelle mécanique;Réaliste
Préposé au transport des matières dangereuses;Réaliste
Chanteur de concert;Social
Chanteur populaire;Social
Choriste;Social
Musicologue;Social
Professeur d’art dramatique (collège ou université);Social
Professeur d’arts plastiques;Social
Professeur de chant;Social
Professeur de danse;Social
Directeur de la publicité;Social
Interprète;Social
Rédacteur publicitaire;Social
Maquilleur-coiffeur;Social
Acrobate;Social
Assistant à la réalisation;Social
Cadreur;Social
Clown;Social
Contorsionniste;Social
Directeur artistique;Social
Directeur de la distribution;Social
Directeur de la photographie;Social
Directeur de production multimédia;Social
Échassier;Social
Équilibriste;Social
Jongleur;Social
Magicien;Social
Technicien de production (télévision);Social
Trapéziste;Social
Concepteur-designer d’expositions;Social
Décorateur-étalagiste;Social
Metteur en scène de théâtre;Social
Producteur audio en multimédia;Social
Réalisateur (cinéma, radio, télévision);Social
Technicien en design de présentation;Social
Chorégraphe;Social
Mannequin;Social
Marionnettiste;Social
Chargé de programmation (radio, télévision);Social
Directeur de production (cinéma, télévision);Social
Directeur technique de productions artistiques;Social
Discothécaire (radiotélédiffusion);Social
Producteur (cinéma, radio, télévision, théâtre);Social
Régisseur;Social
Adjoint médical;Social
Formateur en entreprise;Social
Formateur en tourisme;Social
Naturopathe;Social
Physiothérapeute;Social
Podiatre;Social
Professeur d’enseignement général au cégep;Social
Professeur d’enseignement professionnel au secondaire;Social
Professeur de langues modernes;Social
Professeur en formation technique au collégial;Social
Technicien ambulancier;Social
Thérapeute en réadaptation physique;Social
Thérapeute sportif;Social
Andragogue;Social
Bibliothécaire;Social
Documentaliste de bibliothèque;Social
Éducateur physique en réadaptation;Social
Enseignant aux adultes;Social
Infirmier;Social
Infirmier de service téléphonique;Social
Infirmer en chirurgie;Social
Infirmier en santé au travail;Social
Infirmier psychiatrique;Social
Infirmier scolaire;Social
Médiateur familial;Social
Officier des soins infirmiers;Social
Professeur au secondaire;Social
Professeur d’éducation physique;Social
Travailleur Social;Social
Travailleur Social en service collectif;Social
Moniteur de conduite automobile;Social
Moniteur de conduite de motocyclette;Social
Agent de libération conditionnelle;Social
Agent de probation;Social
Coordonnateur de loisirs municipaux;Social
Directeur d’école;Social
Directeur de camps de vacances;Social
Intervieweur;Social
Technicien de recherche, enquête et sondage;Social
Ludothérapeute;Social
Musicothérapeute;Social
Zoothérapeute;Social
Aide-éducateur en garderie;Social
Aide familial;Social
Auxiliaire familial et Social;Social
Coureur automobile;Social
Entraîneur d’athlètes;Social
Entraîneur d’équipes sportives;Social
Entraîneur d’équipes de sport amateur;Social
Ergothérapeute;Social
Gardien d’enfants;Social
Gouvernant;Social
Patineur artistique;Social
Sportif professionnel;Social
Préposé aux bénéficiaires;Social
Assistant dentaire;Social
Éducateur en garderie;Social
Enseignant au préscolaire;Social
Enseignant au primaire;Social
Infirmier auxiliaire;Social
Instructeur-pilote d’avion;Social
Orthopédagogue;Social
Professeur pour personnes déficientes intellectuelles;Social
Professeur pour personnes handicapées de la vue;Social
Technicien en éducation spécialisée;Social
Animateur de pastorale;Social
Animateur de vie spirituelle et d’engagement communautaire;Social
Aide-coiffeur;Social
Coiffeur;Social
Coiffeur styliste;Social
Électrolyste;Social
Esthéticien;Social
Manucure;Social
Poseur d’ongles et de cils;Social
Capitaine de banquet;Social
Expert en sinistres (assurances);Social
Instructeur d’art martial;Social
Instructeur de conditionnement physique aérobique;Social
Moniteur de camp de vacances;Social
Moniteur de loisirs;Social
Moniteur de natation;Social
Moniteur de ski;Social
Patrouilleur des pentes de ski;Social
Préposé au service aux chambres;Social
Professeur d’équitation;Social
Serveur;Social
Sommelier;Social
Surveillant-sauveteur de bains publics;Social
Technicien en loisirs;Social
Animateur de vie étudiante;Social
Conseiller en consommation;Social
Conseiller en réadaptation;Social
Conseiller en retraite et pré-retraite;Social
Conseiller en toxicomanie;Social
Directeur des services aux étudiants;Social
Génagogue;Social
Intervenant budgétaire;Social
Registraire de collège ou d’université;Social
Sexologue;Social
Technicien d’intervention en délinquance;Social
Technicien en travail Social;Social
Travailleur de rue;Social
Attaché politique;Social
Conseiller politique;Social
Agent syndical;Social
Aide pédagogique individuel;Social
Analyste des emplois;Social
Chasseur de têtes;Social
Conciliateur en relations de travail;Social
Conseiller d’orientation;Social
Conseiller en emploi;Social
Conseiller en gestion de carrière;Social
Conseiller en information scolaire et professionnelle;Social
Conseiller en ressources humaines;Social
Directeur d’agence de rencontres;Social
Directeur de funérailles;Social
Hôte;Social
Maître d’hôtel;Social
Médiateur;Social
Répartiteur dans un service des urgences;Social
Répartiteur de dépanneuses;Social
Répartiteur de taxis;Social
Serveur de bar;Social
