metier;personnalite
Monteur de lignes électriques;Réaliste
Ouvrier sylvicole;Réaliste
Peintre d’automobiles;Réaliste
Pépiniériste;Réaliste
Planteur d’arbres;Réaliste
Plombier;Réaliste
Poseur de lignes;Réaliste
Technicien d’entretien en télédiffusion;Réaliste
Technicien en aménagement cynégétique et halieutique;Réaliste
Technicien en cartographie;Réaliste
Technicien en diffusion et en enregistrement;Réaliste
Technicien en pâtes et papiers;Réaliste
Technicien en plomberie et chauffage;Réaliste
Technicien en réfrigération et mécanique;Réaliste
Technicien en structures d’aéronefs;Réaliste
Technicien en sylviculture;Réaliste
Technologue en câblodistribution;Réaliste
Technologue en équipements audiovisuels;Réaliste
Technologue en exploitation forestière;Réaliste
Tôlier;Réaliste
Tuyauteur;Réaliste
Agent de piste d’atterrissage;Réaliste
Arboriculteur;Réaliste
Assembleur de matériel électromécanique;Réaliste
Assembleur de matériel électronique;Réaliste
Assembleur de matériel informatique;Réaliste
Assistant technique en pharmacie;Réaliste
Carrossier d’usine;Réaliste
Classeur de bois de construction;Réaliste
Commis à la réception et à l’expédition;Réaliste
Commis-vendeur de pièces d’équipement motorisé;Réaliste
Conducteur de machines agricoles;Réaliste
Electricien;Réaliste
Electricien de centrale électrique;Réaliste
Electricien de marine;Réaliste
Electromécanicien de machines distributrices;Réaliste
Electromécanicien de systèmes automatisés;Réaliste
Finisseur de meubles;Réaliste
Inspecteur en bâtiments;Réaliste
Inspecteur en construction;Réaliste
Installateur d’équipements d’automobiles;Réaliste
Lamineur de fibre de verre;Réaliste
Luthier;Réaliste
Magasinier;Réaliste
Manœuvre agricole;Réaliste
Manœuvre en terrassement et en aménagement paysage;Réaliste
Maréchal-ferrant;Réaliste
Mécanicien d’ascenseur;Réaliste
Mécanicien de machines à coudre;Réaliste
Mécanicien de marine;Réaliste
Mécanicien de véhicules récréatifs;Réaliste
Mécanicien-monteur en aérospatiale;Réaliste
Monteur de câbles et de circuits en aérospatiale;Réaliste
Monteur de matériel électronique;Réaliste
Monteur de meubles;Réaliste
Monteur de portes et fenêtres;Réaliste
Monteur de structures d’aéronefs;Réaliste
Monteur-ébéniste;Réaliste
Nettoyeur à sec;Réaliste
Nettoyeur de tapis;Réaliste
Ouvrier à la pose de gazon;Réaliste
Ouvrier agricole de cultures maraîchères;Réaliste
Ouvrier agricole spécialisé;Réaliste
Ouvrier avicole;Réaliste
Ouvrier d’érablière;Réaliste
Ouvrier d’exploitation laitière;Réaliste
Ouvrier de ferme d’élevage;Réaliste
Ouvrier pépiniériste;Réaliste
Palefrenier;Réaliste
